Name,Pick Up Lat,Pick Up Long,Drop Off Lat,Drop Off Long
Nik1,40.123,-80.123,40.456,-80.456
Nik2,40.124,-80.124,40.457,-80.457
Nik3,40.125,-80.125,40.458,-80.458
Nik4,40.126,-80.126,40.459,-80.459
Nik5,40.127,-80.127,40.460,-80.460
Nik6,40.128,-80.128,40.461,-80.461
Nik7,40.129,-80.129,40.462,-80.462
Nik8,40.130,-80.130,40.463,-80.463
Nik9,40.131,-80.131,40.464,-80.464
Nik10,40.132,-80.132,40.465,-80.465
Nik11,40.133,-80.133,40.466,-80.466
Nik12,40.134,-80.134,40.467,-80.467
Nik13,40.135,-80.135,40.468,-80.468
Nik14,40.136,-80.136,40.469,-80.469
Nik15,40.137,-80.137,40.470,-80.470
Nik16,40.138,-80.138,40.471,-80.471
Nik17,40.139,-80.139,40.472,-80.472
Nik18,40.140,-80.140,40.473,-80.473
Nik19,40.141,-80.141,40.474,-80.474
Nik20,40.142,-80.142,40.475,-80.475
Nik21,40.143,-80.143,40.476,-80.476
Nik22,40.144,-80.144,40.477,-80.477
Nik23,40.145,-80.145,40.478,-80.478
Nik24,40.146,-80.146,40.479,-80.479
Nik25,40.147,-80.147,40.480,-80.480
Nik26,40.148,-80.148,40.481,-80.481
Nik27,40.149,-80.149,40.482,-80.482
Nik28,40.150,-80.150,40.483,-80.483
Nik29,40.151,-80.151,40.484,-80.484
Nik30,40.152,-80.152,40.485,-80.485
Nik31,40.153,-80.153,40.486,-80.486
Nik32,40.154,-80.154,40.487,-80.487
Nik33,40.155,-80.155,40.488,-80.488
Nik34,40.156,-80.156,40.489,-80.489
Nik35,40.157,-80.157,40.490,-80.490
Nik36,40.158,-80.158,40.491,-80.491
Nik37,40.159,-80.159,40.492,-80.492
Nik38,40.160,-80.160,40.493,-80.493
Nik39,40.161,-80.161,40.494,-80.494
Nik40,40.162,-80.162,40.495,-80.495
Nik41,40.163,-80.163,40.496,-80.496
Nik42,40.164,-80.164,40.497,-80.497
Nik43,40.165,-80.165,40.498,-80.498
Nik44,40.166,-80.166,40.499,-80.499
Nik45,40.167,-80.167,40.500,-80.500
Nik46,40.168,-80.168,40.501,-80.501
Nik47,40.169,-80.169,40.502,-80.502
Nik48,40.170,-80.170,40.503,-80.503
Nik49,40.171,-80.171,40.504,-80.504
Nik50,40.172,-80.172,40.505,-80.505
Nik51,40.173,-80.173,40.506,-80.506
Nik52,40.174,-80.174,40.507,-80.507
Nik53,40.175,-80.175,40.508,-80.508
Nik54,40.176,-80.176,40.509,-80.509
Nik55,40.177,-80.177,40.510,-80.510
Nik56,40.178,-80.178,40.511,-80.511
Nik57,40.179,-80.179,40.512,-80.512
Nik58,40.180,-80.180,40.513,-80.513
Nik59,40.181,-80.181,40.514,-80.514
Nik60,40.182,-80.182,40.515,-80.515
Nik61,40.183,-80.183,40.516,-80.516
Nik62,40.184,-80.184,40.517,-80.517
Nik63,40.185,-80.185,40.518,-80.518
Nik64,40.186,-80.186,40.519,-80.519
Nik65,40.187,-80.187,40.520,-80.520
Nik66,40.188,-80.188,40.521,-80.521
Nik67,40.189,-80.189,40.522,-80.522
Nik68,40.190,-80.190,40.523,-80.523
Nik69,40.191,-80.191,40.524,-80.524
Nik70,40.192,-80.192,40.525,-80.525
Nik71,40.193,-80.193,40.526,-80.526
Nik72,40.194,-80.194,40.527,-80.527
Nik73,40.195,-80.195,40.528,-80.528
Nik74,40.196,-80.196,40.529,-80.529
Nik75,40.197,-80.197,40.530,-80.530
Nik76,40.198,-80.198,40.531,-80.531
Nik77,40.199,-80.199,40.532,-80.532
Nik78,40.200,-80.200,40.533,-80.533
Nik79,40.201,-80.201,40.534,-80.534
Nik80,40.202,-80.202,40.535,-80.535
Nik81,40.203,-80.203,40.536,-80.536
Nik82,40.204,-80.204,40.537,-80.537
Nik83,40.205,-80.205,40.538,-80.538
Nik84,40.206,-80.206,40.539,-80.539
Nik85,40.207,-80.207,40.540,-80.540
Nik86,40.208,-80.208,40.541,-80.541
Nik87,40.209,-80.209,40.542,-80.542
Nik88,40.210,-80.210,40.543,-80.543
Nik89,40.211,-80.211,40.544,-80.544
Nik90,40.212,-80.212,40.545,-80.545
Nik91,40.213,-80.213,40.546,-80.546
Nik92,40.214,-80.214,40.547,-80.547
Nik93,40.215,-80.215,40.548,-80.548
Nik94,40.216,-80.216,40.549,-80.549
Nik95,40.217,-80.217,40.550,-80.550
Nik96,40.218,-80.218,40.551,-80.551
Nik97,40.219,-80.219,40.552,-80.552
Nik98,40.220,-80.220,40.553,-80.553
Nik99,40.221,-80.221,40.554,-80.554
Nik100,40.222,-80.222,40.555,-80.555
Nik101,40.223,-80.223,40.556,-80.556
Nik102,40.224,-80.224,40.557,-80.557
Nik103,40.225,-80.225,40.558,-80.558
Nik104,40.226,-80.226,40.559,-80.559
Nik105,40.227,-80.227,40.560,-80.560
Nik106,40.228,-80.228,40.561,-80.561
Nik107,40.229,-80.229,40.562,-80.562
Nik108,40.230,-80.230,40.563,-80.563
Nik109,40.231,-80.231,40.564,-80.564
Nik110,40.232,-80.232,40.565,-80.565
Nik111,40.233,-80.233,40.566,-80.566
Nik112,40.234,-80.234,40.567,-80.567
Nik113,40.235,-80.235,40.568,-80.568
Nik114,40.236,-80.236,40.569,-80.569
Nik115,40.237,-80.237,40.570,-80.570
Nik116,40.238,-80.238,40.571,-80.571
Nik117,40.239,-80.239,40.572,-80.572
Nik118,40.240,-80.240,40.573,-80.573
Nik119,40.241,-80.241,40.574,-80.574
Nik120,40.242,-80.242,40.575,-80.575
Nik121,40.243,-80.243,40.576,-80.576
Nik122,40.244,-80.244,40.577,-80.577
Nik123,40.245,-80.245,40.578,-80.578
Nik124,40.246,-80.246,40.579,-80.579
Nik125,40.247,-80.247,40.580,-80.580
Nik126,40.248,-80.248,40.581,-80.581
Nik127,40.249,-80.249,40.582,-80.582
Nik128,40.250,-80.250,40.583,-80.583
Nik129,40.251,-80.251,40.584,-80.584
Nik130,40.252,-80.252,40.585,-80.585
Nik131,40.253,-80.253,40.586,-80.586
